acetic,citric,suger,salt,SO2free,SO2tota,pH,sulfate,alcohol,quality
0.140,0.420,1.200,0.050,51.000,129.000,3.270,0.690,11.100,0.700
0.225,0.400,4.200,0.030,29.000,118.000,3.570,0.360,12.800,0.800
0.280,0.270,15.500,0.036,31.000,134.000,3.190,0.440,13.000,0.700
0.320,0.300,1.300,0.025,18.000,112.000,3.070,0.640,13.300,0.700
0.180,0.490,1.100,0.033,28.000,81.000,3.000,0.680,10.400,0.700
0.210,0.270,1.700,0.038,41.000,150.000,3.490,0.710,10.500,0.700
0.240,0.350,1.000,0.032,42.000,104.000,3.160,0.370,11.700,0.700
0.280,0.410,2.000,0.044,50.000,152.000,3.450,0.490,10.700,0.800
0.230,0.360,7.100,0.028,31.000,104.000,3.350,0.470,12.100,0.800
0.240,0.350,6.400,0.048,44.000,172.000,3.290,0.550,10.500,0.700
0.240,0.260,1.700,0.033,61.000,134.000,3.190,0.810,11.900,0.700
0.190,0.350,6.900,0.045,51.000,125.000,3.100,0.440,10.700,0.700
0.540,0.090,5.100,0.038,52.000,97.000,3.410,0.400,12.200,0.700
0.220,0.350,6.500,0.029,26.000,87.000,3.290,0.440,12.500,0.700
0.310,0.360,8.200,0.028,29.000,142.000,3.010,0.340,13.000,0.700
0.320,0.310,6.400,0.031,38.000,115.000,3.380,0.580,12.200,0.700
0.260,0.260,10.800,0.039,37.000,184.000,3.470,0.580,10.300,0.700
0.320,0.450,4.900,0.028,25.000,191.000,3.510,0.490,11.500,0.700
0.320,0.300,1.900,0.033,41.000,142.000,3.290,0.420,12.800,0.700
0.220,0.340,5.000,0.032,36.000,93.000,3.270,0.360,13.500,0.700
0.310,0.300,8.000,0.028,33.000,122.000,3.130,0.630,12.600,0.700
0.280,0.360,1.800,0.041,38.000,90.000,3.270,0.980,11.900,0.700
0.310,0.280,4.100,0.030,22.000,86.000,3.310,0.380,11.700,0.700
0.260,0.420,1.700,0.049,41.000,122.000,3.470,0.480,10.500,0.800
0.250,0.390,2.100,0.036,30.000,124.000,3.280,0.430,12.200,0.800
0.340,0.240,5.400,0.060,23.000,126.000,3.250,0.440,9.000,0.700
0.400,0.280,6.500,0.037,26.000,97.000,3.160,0.580,12.600,0.700
0.180,0.410,14.200,0.039,47.000,129.000,3.280,0.720,10.300,0.700
0.280,0.270,4.700,0.030,56.000,140.000,3.160,0.420,12.500,0.800
0.180,0.280,10.200,0.039,29.000,115.000,3.110,0.450,10.900,0.700
0.230,0.320,13.400,0.044,35.000,169.000,3.120,0.470,8.800,0.700
0.210,0.400,1.600,0.032,35.000,110.000,3.020,0.600,12.900,0.700
0.330,0.260,2.600,0.040,29.000,115.000,3.070,0.520,11.800,0.700
0.220,0.290,7.400,0.028,16.000,87.000,3.150,0.560,10.900,0.700
0.260,0.410,9.200,0.042,41.000,162.000,3.100,0.380,12.000,0.700
0.170,0.270,1.500,0.037,20.000,98.000,3.460,0.420,11.000,0.700
0.200,0.280,9.100,0.047,29.000,95.000,3.160,0.470,9.800,0.700
0.330,0.220,4.500,0.031,10.000,73.000,2.970,0.520,12.200,0.700
0.250,0.290,5.300,0.031,33.000,117.000,3.060,0.320,11.800,0.700
0.230,0.390,1.600,0.032,12.000,65.000,3.250,0.400,12.700,0.700
0.110,0.340,8.800,0.043,41.000,113.000,3.420,0.400,9.300,0.700
0.240,0.340,1.100,0.034,49.000,158.000,3.320,0.320,13.100,0.700
0.260,0.490,2.200,0.032,31.000,113.000,3.370,0.420,12.900,0.900
0.220,0.280,10.600,0.039,32.000,117.000,3.050,0.550,11.500,0.700
0.200,0.270,1.400,0.031,12.000,77.000,3.250,0.360,10.900,0.700
0.180,0.280,1.100,0.027,32.000,112.000,3.150,0.450,11.000,0.700
0.380,0.260,3.500,0.035,38.000,111.000,3.180,0.470,13.600,0.700
0.310,0.270,8.800,0.021,57.000,156.000,3.080,0.380,11.000,0.700
0.190,0.300,12.800,0.053,48.500,229.000,3.140,0.490,9.100,0.700
0.330,0.220,1.600,0.027,18.000,89.000,3.510,0.380,12.500,0.700
0.340,0.490,9.000,0.033,39.000,180.000,3.130,0.380,12.300,0.800
0.210,0.240,1.800,0.021,17.000,80.000,3.150,0.460,12.300,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.190,0.270,1.600,0.027,35.000,136.000,3.380,0.540,11.000,0.700
0.300,0.320,1.700,0.032,30.000,130.000,3.280,0.410,11.200,0.700
0.120,0.280,1.400,0.037,36.000,83.000,3.330,0.420,10.900,0.700
0.300,0.340,2.700,0.044,34.000,108.000,3.360,0.530,12.800,0.800
0.180,0.360,1.300,0.036,40.000,117.000,3.270,0.950,9.500,0.700
0.250,0.260,5.200,0.024,36.000,135.000,3.160,0.720,10.700,0.700
0.360,0.240,4.600,0.039,24.000,124.000,3.270,0.340,12.600,0.700
0.260,0.390,1.100,0.040,45.000,147.000,3.320,0.580,9.600,0.800
0.250,0.360,2.100,0.034,30.000,177.000,3.250,0.400,11.900,0.800
0.250,0.280,2.200,0.026,54.000,126.000,3.430,0.650,12.900,0.800
0.440,0.240,11.200,0.031,41.000,167.000,3.120,0.430,11.300,0.700
0.460,0.270,5.200,0.039,35.000,96.000,3.160,0.440,12.400,0.700
0.240,0.330,1.300,0.033,25.000,97.000,3.590,0.380,11.000,0.800
0.170,0.350,1.800,0.040,29.000,84.000,2.910,0.570,12.000,0.700
0.120,0.330,2.900,0.044,21.000,73.000,3.170,0.320,12.900,0.800
0.490,0.130,4.500,0.039,17.000,116.000,3.420,0.900,13.700,0.700
0.450,0.240,2.700,0.040,24.000,87.000,2.940,0.380,13.400,0.800
0.290,0.310,3.900,0.027,39.000,96.000,3.240,0.600,12.600,0.800
0.330,0.310,4.200,0.040,21.000,93.000,3.180,0.480,13.400,0.700
0.170,0.370,2.000,0.039,34.000,125.000,3.260,0.600,10.800,0.700
0.120,0.300,3.100,0.018,15.000,37.000,3.020,0.520,11.900,0.700
0.410,0.240,1.900,0.034,10.000,53.000,3.320,0.500,13.500,0.700
0.120,0.290,10.300,0.039,41.000,98.000,3.190,0.380,9.800,0.800
0.200,0.260,4.800,0.033,26.000,76.000,2.980,0.490,12.300,0.700
0.220,0.310,2.300,0.018,45.000,80.000,3.060,0.340,12.900,0.700
0.240,0.360,2.200,0.027,36.000,134.000,3.280,0.360,12.500,0.700
0.300,0.490,4.700,0.036,17.000,105.000,3.260,0.680,12.400,0.700
0.240,0.260,1.700,0.033,61.000,134.000,3.190,0.810,11.900,0.700
0.260,0.240,7.000,0.023,19.000,130.000,3.140,0.490,12.800,0.700
0.260,0.310,3.600,0.030,36.000,92.000,3.220,0.620,12.600,0.800
0.240,0.330,1.700,0.035,47.000,136.000,3.260,0.400,12.600,0.700
0.330,0.310,4.000,0.030,27.000,108.000,3.300,0.430,12.200,0.700
0.150,0.440,1.200,0.043,67.000,150.000,3.140,0.730,11.200,0.700
0.320,0.240,1.500,0.036,38.000,124.000,3.290,0.420,12.400,0.700
0.200,0.340,2.100,0.049,12.000,136.000,3.250,0.460,11.600,0.700
0.160,0.440,1.200,0.051,39.000,122.000,3.110,0.750,11.300,0.700
0.370,0.150,2.000,0.029,27.000,87.000,3.300,0.590,12.600,0.700
0.660,0.480,1.200,0.029,29.000,75.000,3.330,0.390,12.800,0.800
0.350,0.400,6.300,0.022,23.000,174.000,3.540,0.500,11.600,0.700
0.200,0.320,3.000,0.031,26.000,118.000,3.380,0.680,11.200,0.700
0.430,0.310,3.600,0.046,19.000,143.000,3.150,0.340,12.000,0.800
0.305,0.380,1.400,0.047,30.000,95.000,3.220,0.520,11.500,0.700
0.220,0.350,5.500,0.043,21.000,114.000,3.300,0.530,10.700,0.700
0.170,0.440,14.100,0.053,43.000,145.000,3.280,0.750,8.800,0.800
0.200,0.260,9.700,0.030,39.000,102.000,3.080,0.560,12.900,0.700
0.280,0.340,8.900,0.048,32.000,111.000,3.250,0.540,11.000,0.700
0.260,0.330,1.100,0.027,46.000,113.000,3.350,0.430,11.400,0.700
0.220,0.260,2.800,0.036,44.000,132.000,3.340,0.410,12.000,0.700
0.360,0.280,6.100,0.029,12.000,93.000,3.190,0.270,12.800,0.700
0.110,0.340,8.800,0.043,41.000,113.000,3.420,0.400,9.300,0.700
0.340,0.310,2.000,0.030,38.000,142.000,3.400,0.410,12.900,0.700
0.430,0.300,5.700,0.039,24.000,98.000,3.540,0.610,12.300,0.700
0.180,0.300,12.800,0.062,19.000,171.000,3.000,0.520,9.000,0.700
0.190,0.320,7.050,0.019,54.000,188.000,3.250,0.370,11.100,0.800
0.190,0.490,6.700,0.037,15.000,110.000,3.200,0.380,11.000,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.255,0.570,10.700,0.056,66.000,171.000,3.250,0.610,10.400,0.700
0.160,0.300,13.700,0.056,33.000,168.000,2.900,0.440,8.700,0.700
0.470,0.290,14.800,0.024,22.000,142.000,3.120,0.480,12.000,0.800
0.460,0.180,2.400,0.034,25.000,98.000,3.080,0.440,12.600,0.700
0.280,0.310,7.200,0.040,47.000,168.000,3.290,0.570,10.600,0.700
0.140,0.320,2.700,0.037,18.000,89.000,3.400,0.740,11.500,0.700
0.120,0.360,2.300,0.039,43.000,125.000,3.070,0.670,10.100,0.700
0.210,0.320,2.200,0.037,28.000,141.000,3.200,0.570,10.000,0.700
0.320,0.280,6.600,0.021,29.000,132.000,3.150,0.360,11.450,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.180,0.490,1.100,0.033,28.000,81.000,3.000,0.680,10.400,0.700
0.190,0.400,1.400,0.036,14.000,55.000,3.080,0.680,11.500,0.700
0.340,0.100,1.300,0.031,20.000,68.000,3.360,0.510,11.200,0.700
0.390,0.320,3.600,0.035,22.000,93.000,3.080,0.600,12.500,0.700
0.310,0.300,8.000,0.028,33.000,122.000,3.130,0.630,12.600,0.700
0.210,0.270,2.100,0.030,26.000,139.000,3.160,0.610,12.600,0.700
0.230,0.320,0.900,0.041,25.000,79.000,3.390,0.540,10.200,0.700
0.220,0.260,9.200,0.027,37.000,122.000,3.060,0.340,12.500,0.800
0.360,0.290,1.600,0.021,24.000,85.000,3.410,0.610,12.400,0.900
0.350,0.300,5.700,0.035,8.000,97.000,3.270,0.410,11.000,0.700
0.230,0.350,4.600,0.039,43.000,147.000,3.180,0.400,11.000,0.700
0.220,0.380,9.100,0.044,35.000,127.000,2.970,0.300,11.000,0.700
0.300,0.490,8.100,0.037,26.000,174.000,3.100,0.300,11.200,0.700
0.390,0.280,4.900,0.035,36.000,109.000,3.190,0.580,12.200,0.700
0.460,0.310,5.000,0.027,15.000,72.000,3.260,0.600,11.500,0.700
0.220,0.300,1.300,0.038,45.000,122.000,3.130,0.540,10.800,0.700
0.450,0.360,8.800,0.026,50.000,151.000,3.070,0.250,12.700,0.800
0.170,0.560,1.500,0.026,24.000,115.000,3.480,0.390,10.800,0.700
0.220,0.270,1.600,0.039,36.000,116.000,3.380,0.570,11.000,0.700
0.390,0.340,7.400,0.020,38.000,133.000,3.180,0.440,12.000,0.700
0.330,0.440,6.350,0.024,9.000,87.000,2.960,0.400,12.600,0.700
0.230,0.300,1.700,0.043,19.000,95.000,3.170,0.460,10.700,0.700
0.280,0.340,4.600,0.054,22.000,130.000,3.200,0.460,12.000,0.700
0.370,0.360,1.000,0.034,17.000,93.000,3.040,0.320,11.700,0.800
0.500,0.130,5.000,0.028,12.000,107.000,3.480,0.880,13.500,0.700
0.330,0.620,7.500,0.038,46.000,132.000,3.230,0.430,13.400,0.700
0.440,0.040,1.400,0.036,43.000,119.000,3.360,0.330,12.100,0.800
0.250,0.250,1.400,0.030,35.000,105.000,3.300,0.440,11.100,0.700
0.280,0.300,1.500,0.026,31.000,114.000,3.320,0.600,12.500,0.700
0.300,0.510,13.600,0.050,40.000,168.000,3.070,0.520,9.600,0.700
0.330,0.270,4.900,0.036,30.000,134.000,3.200,0.420,10.400,0.700
0.470,0.290,14.800,0.024,22.000,142.000,3.120,0.480,12.000,0.800
0.440,0.280,4.250,0.032,43.000,132.000,3.260,0.470,11.267,0.700
0.160,0.270,15.500,0.050,25.000,135.000,2.900,0.430,8.700,0.700
0.150,0.360,1.800,0.034,43.000,150.000,3.420,0.690,11.000,0.800
0.160,0.320,1.400,0.035,49.000,186.000,3.350,0.640,12.400,0.800
0.180,0.410,14.200,0.039,47.000,129.000,3.280,0.720,10.300,0.700
0.340,0.320,3.800,0.044,13.000,116.000,3.390,0.440,11.800,0.700
0.160,0.290,1.800,0.050,40.000,147.000,3.060,0.440,11.400,0.700
0.340,0.300,8.500,0.059,24.000,152.000,3.460,0.640,11.000,0.700
0.310,0.280,1.500,0.037,12.000,119.000,3.320,0.510,10.400,0.700
0.280,0.280,4.200,0.044,52.000,158.000,3.350,0.440,10.700,0.700
0.220,0.310,2.700,0.030,41.000,136.000,3.160,0.370,12.700,0.700
0.250,0.360,1.300,0.035,40.000,78.000,3.230,0.640,12.100,0.700
0.410,0.300,3.200,0.030,49.000,164.000,3.530,0.790,11.700,0.700
0.250,0.280,14.400,0.055,55.000,205.000,3.120,0.380,9.000,0.700
0.370,0.300,1.500,0.033,35.000,95.000,3.360,0.560,12.000,0.700
0.260,0.230,5.150,0.034,48.000,160.000,3.820,0.510,10.500,0.700
0.280,0.340,2.200,0.037,24.000,125.000,3.360,0.330,12.800,0.800
0.240,0.280,3.950,0.038,61.000,134.000,3.300,0.540,11.300,0.700
0.270,0.350,1.700,0.030,38.000,103.000,3.220,0.630,10.400,0.800
0.240,0.290,13.300,0.039,49.000,130.000,3.330,0.460,11.000,0.800
0.280,0.420,14.400,0.040,49.000,173.000,3.280,0.820,9.000,0.700
0.330,0.260,5.000,0.027,46.000,143.000,3.250,0.430,11.200,0.700
0.160,0.300,13.700,0.056,33.000,168.000,2.900,0.440,8.700,0.700
0.410,0.330,4.700,0.023,28.000,110.000,3.300,0.380,12.500,0.700
0.180,0.350,5.400,0.054,53.000,143.000,3.100,0.540,11.000,0.700
0.180,0.290,1.400,0.042,34.000,101.000,3.540,0.600,10.500,0.700
0.240,0.290,2.000,0.044,15.000,96.000,3.230,0.640,10.400,0.800
0.200,0.330,1.900,0.035,39.000,138.000,3.170,0.440,11.700,0.700
0.230,0.370,1.900,0.041,51.000,165.000,3.260,0.400,12.200,0.800
0.410,0.300,3.200,0.030,49.000,164.000,3.530,0.790,11.700,0.700
0.260,0.210,2.900,0.026,48.000,126.000,3.220,0.380,11.300,0.700
0.380,0.320,8.500,0.044,36.000,152.000,3.380,0.350,12.000,0.700
0.250,0.360,2.100,0.034,30.000,177.000,3.250,0.400,11.900,0.800
0.250,0.250,1.600,0.046,50.000,181.000,3.200,0.420,11.000,0.700
0.190,0.270,13.900,0.057,45.000,155.000,2.940,0.410,8.800,0.800
0.455,0.180,1.900,0.036,33.000,106.000,3.210,0.830,14.000,0.700
0.480,0.300,1.500,0.037,19.000,78.000,3.470,0.420,11.900,0.700
0.270,0.450,10.600,0.035,28.000,124.000,3.200,0.460,10.400,0.900
0.420,0.010,1.500,0.017,25.000,102.000,3.380,0.360,12.300,0.700
0.250,0.410,1.800,0.037,52.000,165.000,3.290,0.390,12.200,0.700
0.330,0.220,1.600,0.027,18.000,89.000,3.510,0.380,12.500,0.700
0.180,0.280,10.200,0.039,29.000,115.000,3.110,0.450,10.900,0.700
0.230,0.320,1.900,0.038,40.000,118.000,3.320,0.530,11.800,0.700
0.310,0.370,8.400,0.031,70.000,170.000,3.420,0.400,11.700,0.800
0.150,0.300,13.300,0.049,46.000,120.000,3.200,0.360,9.500,0.700
0.170,0.280,2.500,0.028,22.000,98.000,3.160,0.370,11.100,0.700
0.250,0.280,7.250,0.028,14.000,78.000,2.940,0.370,11.500,0.700
0.380,0.420,2.500,0.038,34.000,117.000,3.360,0.590,11.600,0.700
0.270,0.270,1.600,0.046,32.000,113.000,3.410,0.510,10.500,0.700
0.160,0.330,1.100,0.057,21.000,82.000,3.320,0.460,10.900,0.700
0.290,0.410,10.800,0.048,55.000,149.000,3.090,0.590,10.967,0.700
0.170,0.360,1.300,0.036,11.000,70.000,3.430,0.680,10.400,0.700
0.450,0.360,5.000,0.033,28.000,156.000,3.110,0.400,12.400,0.700
0.200,0.300,14.200,0.056,53.000,212.500,3.140,0.460,8.900,0.800
0.220,0.380,9.100,0.044,35.000,127.000,2.970,0.300,11.000,0.700
0.200,0.270,10.900,0.038,29.000,130.000,3.110,0.440,10.500,0.700
0.120,0.290,10.300,0.039,41.000,98.000,3.190,0.380,9.800,0.800
0.130,0.280,1.200,0.046,35.000,140.000,3.330,0.330,10.100,0.700
0.265,0.280,6.900,0.036,46.000,150.000,3.360,0.440,10.800,0.700
0.180,0.310,1.400,0.058,38.000,167.000,3.160,0.530,10.000,0.700
0.420,0.290,4.100,0.030,31.000,100.000,3.000,0.320,12.800,0.700
0.190,0.290,2.000,0.022,33.000,96.000,3.040,0.540,12.800,0.700
0.220,0.490,6.000,0.029,31.000,128.000,3.410,0.360,11.300,0.800
0.230,0.280,11.100,0.033,30.000,97.000,3.030,0.390,10.500,0.700
0.300,0.220,1.400,0.046,16.000,135.000,3.080,0.770,10.400,0.700
0.120,0.330,2.900,0.044,21.000,73.000,3.170,0.320,12.900,0.800
0.350,0.360,0.800,0.034,32.000,111.000,3.110,0.500,12.100,0.800
0.400,0.270,5.200,0.030,32.000,101.000,3.220,0.620,12.300,0.700
0.320,0.330,9.900,0.032,22.000,90.000,3.100,0.430,12.100,0.700
0.520,0.260,5.700,0.038,27.000,130.000,3.110,0.270,13.000,0.700
0.170,0.360,6.400,0.055,42.000,123.000,3.110,0.500,11.000,0.800
0.500,0.180,2.000,0.036,23.000,129.000,3.360,0.770,13.400,0.700
0.310,0.270,2.300,0.042,19.000,120.000,3.320,0.410,12.700,0.700
0.130,0.400,1.200,0.047,54.000,134.000,3.300,0.970,9.800,0.700
0.390,0.320,3.600,0.035,22.000,93.000,3.080,0.600,12.500,0.700
0.190,0.270,13.900,0.057,45.000,155.000,2.940,0.410,8.800,0.800
0.240,0.390,1.300,0.063,18.000,136.000,3.310,0.480,10.400,0.700
0.380,0.260,5.200,0.042,33.000,112.000,3.060,0.500,12.300,0.700
0.140,0.310,1.200,0.034,53.000,138.000,3.380,0.350,11.500,0.700
0.250,0.450,2.300,0.045,40.000,118.000,3.160,0.480,11.900,0.700
0.220,0.420,14.600,0.044,45.000,163.000,3.210,0.690,8.600,0.700
0.160,0.270,15.500,0.050,25.000,135.000,2.900,0.430,8.700,0.700
0.260,0.340,14.400,0.067,35.000,189.000,3.070,0.530,9.100,0.700
0.150,0.320,14.000,0.031,16.000,99.000,3.260,0.380,11.500,0.800
0.200,0.270,9.600,0.037,19.000,105.000,3.040,0.370,10.500,0.700
0.210,0.420,9.100,0.049,31.000,150.000,3.120,0.740,9.900,0.700
0.300,0.470,7.850,0.030,19.000,133.000,3.520,0.430,11.500,0.700
0.280,0.520,6.200,0.028,37.000,104.000,3.280,0.510,11.800,0.700
0.280,0.360,1.100,0.028,42.000,105.000,2.990,0.390,12.400,0.700
0.170,0.360,1.800,0.029,93.000,161.000,3.650,0.890,12.000,0.700
0.210,0.340,1.500,0.035,45.000,123.000,3.240,0.360,12.600,0.700
0.190,0.330,1.600,0.039,27.000,98.000,3.090,0.460,12.300,0.700
0.250,0.360,13.100,0.050,35.000,200.000,3.040,0.460,8.900,0.700
0.270,0.190,1.700,0.020,24.000,110.000,3.320,0.470,12.600,0.700
0.180,0.280,9.800,0.039,29.000,113.000,3.110,0.450,10.900,0.700
0.230,0.240,3.800,0.038,61.000,152.000,3.310,0.500,11.300,0.700
0.180,0.360,1.200,0.046,9.000,71.000,3.700,0.680,10.900,0.700
0.260,0.440,7.100,0.027,25.000,126.000,3.020,0.340,11.100,0.800
0.180,0.350,1.500,0.049,49.000,141.000,3.430,0.850,10.200,0.700
0.250,0.360,13.100,0.050,35.000,200.000,3.040,0.460,8.900,0.700
0.280,0.290,2.700,0.038,26.000,107.000,3.320,0.410,11.600,0.700
0.290,0.410,10.800,0.048,55.000,149.000,3.090,0.590,10.967,0.700
0.140,0.490,1.500,0.035,42.000,120.000,3.260,0.400,10.600,0.700
0.360,0.360,5.700,0.038,26.000,98.000,2.930,0.590,12.500,0.700
0.160,0.270,15.500,0.050,25.000,135.000,2.900,0.430,8.700,0.700
0.370,0.280,6.300,0.034,45.000,152.000,3.290,0.460,11.600,0.700
0.160,0.330,1.000,0.027,23.000,75.000,3.300,0.390,11.400,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.400,0.320,6.000,0.034,50.000,127.000,3.510,0.580,12.500,0.700
0.380,0.290,4.900,0.021,38.000,113.000,3.080,0.480,13.000,0.700
0.150,0.480,2.700,0.052,24.000,190.000,3.500,0.450,10.900,0.700
0.150,0.280,4.400,0.029,14.000,107.000,3.240,0.460,10.400,0.800
0.290,0.300,1.100,0.022,20.000,110.000,3.340,0.380,12.800,0.700
0.440,0.370,2.700,0.041,35.000,128.000,3.070,0.430,13.500,0.700
0.230,0.310,3.500,0.044,35.000,158.000,3.190,0.370,12.100,0.700
0.360,0.380,3.200,0.031,20.000,89.000,3.060,0.330,12.000,0.700
0.190,0.310,1.400,0.046,37.000,135.000,3.340,0.570,10.200,0.700
0.190,0.490,15.550,0.058,50.000,134.000,3.420,0.360,9.100,0.700
0.190,0.350,1.500,0.037,37.000,107.000,3.180,0.680,12.000,0.700
0.180,0.420,2.100,0.036,33.000,187.000,3.400,0.410,10.600,0.700
0.240,0.330,2.500,0.026,31.000,85.000,3.130,0.500,11.300,0.700
0.240,0.260,1.700,0.033,36.000,136.000,3.440,0.510,10.400,0.700
0.340,0.310,6.000,0.020,18.000,68.000,3.220,0.290,13.400,0.700
0.210,0.310,2.900,0.046,40.000,121.000,3.070,0.650,10.900,0.700
0.170,0.740,12.800,0.045,24.000,126.000,3.260,0.380,12.200,0.800
0.360,0.320,4.000,0.036,44.000,92.000,3.200,0.500,13.300,0.700
0.240,0.300,3.850,0.042,105.000,179.000,3.040,0.590,11.300,0.800
0.300,0.510,13.600,0.050,40.000,168.000,3.070,0.520,9.600,0.700
0.080,0.330,1.900,0.028,23.000,93.000,3.340,0.700,12.000,0.700
0.210,0.210,10.200,0.037,17.000,112.000,3.660,0.480,12.200,0.700
0.260,0.240,6.400,0.040,27.000,124.000,3.220,0.490,12.600,0.700
0.370,0.330,3.900,0.027,40.000,130.000,3.280,0.390,12.700,0.700
0.300,0.290,2.800,0.025,37.000,107.000,3.310,0.630,11.300,0.700
0.320,0.280,4.800,0.034,25.000,100.000,3.080,0.470,12.400,0.700
0.220,0.320,2.200,0.028,36.000,92.000,3.270,0.590,11.900,0.700
0.200,0.420,1.500,0.041,35.000,125.000,3.110,0.490,11.400,0.700
0.155,0.330,1.600,0.028,13.000,59.000,3.300,0.840,11.900,0.800
0.190,0.310,19.250,0.043,38.000,167.000,2.930,0.520,9.100,0.700
0.250,0.330,1.400,0.040,42.000,115.000,3.190,0.480,11.300,0.700
0.310,0.310,9.100,0.036,45.000,140.000,2.980,0.310,12.000,0.700
0.190,0.270,13.900,0.057,45.000,155.000,2.940,0.410,8.800,0.800
0.130,0.420,1.100,0.043,63.000,146.000,3.130,0.720,11.200,0.700
0.310,0.240,7.100,0.031,28.000,141.000,3.160,0.380,10.600,0.700
0.260,0.340,14.400,0.067,35.000,189.000,3.070,0.530,9.100,0.700
0.270,0.310,1.500,0.035,17.000,83.000,3.320,0.440,11.100,0.700
0.160,0.360,1.200,0.043,21.000,90.000,3.160,0.420,11.000,0.700
0.150,0.280,14.700,0.051,29.000,149.000,2.960,0.390,9.000,0.700
0.370,0.300,2.200,0.033,39.000,107.000,3.220,0.530,13.500,0.700
0.290,0.490,9.600,0.030,45.000,197.000,3.130,0.380,12.300,0.700
0.300,0.300,1.200,0.029,25.000,93.000,3.310,0.400,13.600,0.700
0.210,0.390,2.300,0.041,31.000,102.000,3.220,0.580,10.900,0.700
0.170,0.310,4.800,0.034,34.000,132.000,3.360,0.480,9.600,0.700
0.230,0.240,3.900,0.045,36.000,138.000,3.150,0.640,11.300,0.700
0.230,0.250,1.400,0.049,43.000,141.000,3.420,0.540,10.200,0.700
0.390,0.280,4.900,0.035,36.000,109.000,3.190,0.580,12.200,0.700
0.150,0.440,1.200,0.043,67.000,150.000,3.140,0.730,11.200,0.700
0.310,0.280,1.500,0.037,12.000,119.000,3.320,0.510,10.400,0.700
0.310,0.300,2.400,0.038,30.000,83.000,3.090,0.360,12.800,0.700
0.250,0.250,1.400,0.030,35.000,105.000,3.300,0.440,11.100,0.700
0.160,0.380,12.700,0.043,70.500,163.000,3.150,0.820,10.400,0.700
0.400,0.320,1.700,0.035,39.000,84.000,3.590,0.480,12.700,0.700
0.190,0.320,7.600,0.049,37.000,107.000,3.120,0.440,10.700,0.700
0.300,0.270,4.000,0.038,37.000,97.000,3.200,0.600,12.600,0.800
0.170,0.520,5.900,0.017,21.000,84.000,3.140,0.400,11.900,0.700
0.330,0.400,2.650,0.041,35.000,86.000,3.110,0.390,13.300,0.700
0.180,0.340,1.600,0.040,43.000,148.000,3.320,0.590,11.500,0.800
0.280,0.340,8.900,0.048,32.000,111.000,3.250,0.540,11.000,0.700
0.210,0.400,6.300,0.032,40.000,121.000,3.180,0.530,12.000,0.700
0.200,0.440,1.400,0.045,21.000,98.000,3.150,0.460,10.000,0.700
0.200,0.260,4.700,0.040,108.000,168.000,3.070,0.750,10.700,0.700
0.265,0.360,1.200,0.034,15.000,80.000,2.950,0.360,11.400,0.700
0.260,0.370,5.500,0.025,31.000,105.000,3.060,0.330,12.600,0.800
